UNIVERSO,CODIGO,DESCRICAO,NIVEL_1,NIVEL_2,NIVEL_3,RECEITA,QTD_ARMAZENAGEM,LOJAS_ATIVAS,CUSTO_MEDIO_ARM,PRECO_COMPRA_PONDERADO_UNID_COMPRA,CONVERSAO_COMPRA_ARMAZENAGEM,COMPRAS_LINHAS_COM_PRECO,PRECO_PRATICADO_ARM,MARGEM_BRUTA_RS,MARGEM_BRUTA_PCT,MARKUP,FLAG_MARGEM_NEGATIVA,PART_RECEITA_UNIVERSO_PCT,CURVA_ABC_RECEITA,RANK_RECEITA
REDE_COMPLETA,462831,DISJ.UNIP.C DIN  40A       GII-C040A,E - MATERIAIS ELETRICOS,ED - PROTECAO DE CIRCUITOS ELETRICOS,EDA - DISJUNTORES,217573.009924,14925.000000,9,4.653000,4.653000,1.000000,1,14.577756,9.924756,68.081507,3.132980,0,0.045091,A,417.000000
REDE_COMPLETA,462859,DISPOSIT.PROTECAO DR2P      63A/30MA,E - MATERIAIS ELETRICOS,ED - PROTECAO DE CIRCUITOS ELETRICOS,EDG - DISPOSITIVOS DR,209290.357500,1997.000000,9,37.177000,37.177000,1.000000,1,104.802382,67.625382,64.526570,2.819011,0,0.043375,A,431.000000
REDE_COMPLETA,475211,BUFFET 1.59X0.45 2P ALDO     AMD/OFF,O - MOVEIS,OA - SALA DE ESTAR E JANTAR,OAN - BALCOES E BUFFETS,206172.540000,268.000000,11,251.553400,251.553400,1.000000,1,769.300522,517.747122,67.301023,3.058200,0,0.042729,A,436.000000
REDE_COMPLETA,419437,ARAND.LED PLS.   PT 3W QD   AM 18549,I - ILUMINACAO,IB - RESIDENCIAL,IBD - ARANDELAS RESIDENCIAIS,205932.090000,3493.000000,9,26.996800,26.996800,1.000000,18,58.955651,31.958851,54.208291,2.183801,0,0.042679,A,437.000000
REDE_COMPLETA,483606,"CER.A 60X60 COLOSSEO EXT RT   2,12M2",C - PISOS E REVESTIMENTOS,CA - CERAMICOS E PORCELANATOS,CAA - PISOS CERAMICOS,204861.740580,3614.600000,8,17.390000,17.390000,1.000000,1,56.676186,39.286186,69.316919,3.259125,0,0.042457,A,440.000000
REDE_COMPLETA,430295,ARMARIO AEREO 0.80 2P FRJ/OFW 500331,O - MOVEIS,OD - COZINHA E AREA DE SERVICO,ODD - ARMARIOS MODULARES,203739.060000,363.000000,11,210.278000,210.278000,1.000000,1,561.264628,350.986628,62.534963,2.669155,0,0.042224,A,446.000000
REDE_COMPLETA,360262,"LAMP.LED  DIC.MR16 4,5W BR GU10 MBIV",I - ILUMINACAO,IA - LAMPADAS,IAA - LAMPADAS LED,202921.117700,9020.000000,9,9.569200,9.569200,1.000000,47,22.496798,12.927598,57.464169,2.350959,0,0.042055,A,448.000000
REDE_COMPLETA,467966,COND.SPLIT 18000 EVAP.42AGVC INV.159,D - ELETROS,DA - AR E VENTILACAO,DAQ - AR CONDICIONADO SPLIT INVERTER,202159.881000,157.000000,10,806.585800,806.585800,1.000000,1,1287.642554,481.056754,37.359495,1.596411,0,0.041897,A,452.000000
REDE_COMPLETA,390662,"REVEST.A 34X50 ROCALLA MIX    2,38M2",C - PISOS E REVESTIMENTOS,CA - CERAMICOS E PORCELANATOS,CAC - REVESTIMENTOS,196352.277660,3465.280000,9,23.500000,23.500000,1.000000,5,56.662745,33.162745,58.526542,2.411181,0,0.040693,A,463.000000
REDE_COMPLETA,462860,DISPOSIT.PROTECAO DR4P      63A/30MA,E - MATERIAIS ELETRICOS,ED - PROTECAO DE CIRCUITOS ELETRICOS,EDG - DISPOSITIVOS DR,194368.965000,1255.000000,9,54.228600,54.228600,1.000000,1,154.875669,100.647069,64.985720,2.855978,0,0.040282,A,465.000000
REDE_COMPLETA,474293,TRILHO LED KIT 3 SPOT NE  5W BR MBIV,I - ILUMINACAO,IB - RESIDENCIAL,IBC - SPOTS,194118.036000,1637.000000,9,54.050000,54.050000,1.000000,6,118.581574,64.531574,54.419563,2.193924,0,0.040230,A,467.000000
REDE_COMPLETA,469138,FOGAO PISO 5B          FE5DP PT M127,D - ELETROS,DC - ELETRODOMESTICOS PARA COZINHA,DCA - FOGOES,192684.387000,49.000000,5,2045.252000,2045.252000,1.000000,1,3932.334429,1887.082429,47.988859,1.922665,0,0.039933,A,470.000000
REDE_COMPLETA,464818,"PORCEL.A 58X58 EBR.PARQ.CAFE  1,68M2",C - PISOS E REVESTIMENTOS,CA - CERAMICOS E PORCELANATOS,CAB - PORCELANATOS,190355.991840,4198.320000,8,26.790000,26.790000,1.000000,1,45.340992,18.550992,40.914393,1.692460,0,0.039451,A,473.000000
