UNIVERSO,NIVEL_1,NIVEL_2,SKUS,SKUS_COM_CUSTO,LINHAS_VENDA,RECEITA_TOTAL,QTD_ARM_TOTAL,RECEITA_COM_CUSTO,QTD_ARM_COM_CUSTO,CMV,PRECO_PRATICADO_ARM,PRECO_PRATICADO_ARM_COM_CUSTO,CUSTO_MEDIO_ARM_PONDERADO,MARGEM_BRUTA_RS_UNIT,MARGEM_BRUTA_TOTAL,MARGEM_BRUTA_PCT,MARKUP_PONDERADO,COBERTURA_CUSTO_RECEITA_PCT,PART_RECEITA_UNIVERSO_PCT
REDE_COMPLETA,R - ELETRONICOS,RG - SEGURANCA,2,0,243,88881.730000,390.000000,0.000000,0.000000,0.000000,227.901872,,,,0.000000,,,0.000000,0.018420
REDE_COMPLETA,B - UTILIDADES DOMESTICAS,BG - ACESSORIOS PARA PREPARACAO,7,0,2650,87083.580500,4353.000000,0.000000,0.000000,0.000000,20.005417,,,,0.000000,,,0.000000,0.018048
REDE_COMPLETA,Q - BASICOS CONSTRUCAO,QI - FIXACAO,3,0,1356,85191.855000,2764.000000,0.000000,0.000000,0.000000,30.821945,,,,0.000000,,,0.000000,0.017656
REDE_COMPLETA,Y - EPI,YE - PROTECAO RESPIRATORIA,1,0,1622,73582.103000,5296.000000,0.000000,0.000000,0.000000,13.893902,,,,0.000000,,,0.000000,0.015250
REDE_COMPLETA,"L - INFANTIL, LAZER E PETS",LE - ENXOVAL,1,0,682,70573.492500,1048.000000,0.000000,0.000000,0.000000,67.341119,,,,0.000000,,,0.000000,0.014626
REDE_COMPLETA,A - AUTOMOTIVO,AB - BATERIAS E CARREGADORES,1,0,108,67676.658000,122.000000,0.000000,0.000000,0.000000,554.726705,,,,0.000000,,,0.000000,0.014026
REDE_COMPLETA,M - MAQUINAS E MOTORES,MH - SOLDAGEM,1,0,75,61396.555500,79.000000,0.000000,0.000000,0.000000,777.171589,,,,0.000000,,,0.000000,0.012724
REDE_COMPLETA,A - AUTOMOTIVO,AP - VULCANIZADORES,1,0,94,58614.675000,101.000000,0.000000,0.000000,0.000000,580.343317,,,,0.000000,,,0.000000,0.012148
REDE_COMPLETA,H - TUBOS E CONEXOES,HB - CALHAS E ACESSORIOS,2,0,695,56218.501500,1105.000000,0.000000,0.000000,0.000000,50.876472,,,,0.000000,,,0.000000,0.011651
REDE_COMPLETA,J - JARDINAGEM,JA - PLANTAR,4,0,1105,51638.853000,1414.000000,0.000000,0.000000,0.000000,36.519698,,,,0.000000,,,0.000000,0.010702
REDE_COMPLETA,A - AUTOMOTIVO,AO - VESTUARIOS PARA MOTOQUEIROS,4,0,104,48574.459500,109.000000,0.000000,0.000000,0.000000,445.637243,,,,0.000000,,,0.000000,0.010067
