UNIVERSO,CODIGO,EMBALAGEM,DESCRICAO,NIVEL_1,LOJAS,RECEITA,PRECO_ARM_MEDIO,PRECO_ARM_MEDIANA,PRECO_ARM_DESVPAD,PRECO_ARM_MIN,PRECO_ARM_MAX,CV_PRECO,AMPLITUDE_PCT,FLAG_DISPERSAO_ALTA
REDE_COMPLETA,390158,0,POSTE LED JARDIM 30CM 6W    AM 18433,I - ILUMINACAO,9,101581.200000,137.737446,129.174937,17.664387,120.748591,172.916739,0.128247,37.875066,0
REDE_COMPLETA,403388,0,FITA LED 5M  IP20 10W/M  IR70 AM 12V,I - ILUMINACAO,8,163918.524000,173.288541,167.658910,22.156024,147.166250,207.900000,0.127856,35.047759,0
REDE_COMPLETA,429480,0,PLACA 4X4 CEGA             LGP40 POP,E - MATERIAIS ELETRICOS,9,22552.131000,11.506639,11.739612,1.469440,9.206854,13.545000,0.127704,37.701241,0
REDE_COMPLETA,263337,0,"LIQUID.INDL 4,0L 1/2HP  LS04MBN M220",N - INDUSTRIAL E NEGOCIOS,9,69778.800000,1285.740986,1298.895000,164.129110,1049.895000,1525.755000,0.127653,37.010565,0
REDE_COMPLETA,452088,0,PRATO SMES.CER.19CM  RENASCENCA 4568,B - UTILIDADES DOMESTICAS,8,8559.495000,20.651431,20.998846,2.623249,14.969138,23.121000,0.127025,39.473594,0
REDE_COMPLETA,469140,0,FOGAO PISO 5B          FE5DP PT M220,D - ELETROS,8,414110.497500,4038.235907,3942.200285,512.314893,3492.265000,4871.422500,0.126866,34.152475,0
REDE_COMPLETA,462811,0,DISJ.BIPO.C DIN  16A       GII-C016A,E - MATERIAIS ELETRICOS,9,101580.342500,43.828450,41.632500,5.548748,35.988750,51.475161,0.126602,35.334151,0
REDE_COMPLETA,482634,0,APARADOR SALA 1.20 DEMADERO      OFF,O - MOVEIS,11,34398.420000,451.330307,472.395000,57.054779,313.950000,551.145000,0.126415,52.554636,0
REDE_COMPLETA,471923,0,ARAND.LED SOB. SIERRA  6W BR AM MBIV,I - ILUMINACAO,9,387632.208250,55.789700,60.271936,7.041535,45.690451,63.360759,0.126216,31.673065,0
REDE_COMPLETA,438881,0,ARMARIO AEREO 0.80 1P         FRJ/GRAF,O - MOVEIS,9,29385.195000,344.105417,346.395000,43.326538,277.987500,400.811250,0.125911,35.693640,0
REDE_COMPLETA,392031,0,TUBO ELETR.PVC      CZ    3/4     3M,E - MATERIAIS ELETRICOS,9,65094.991500,38.385175,36.942500,4.828376,31.395000,47.636918,0.125788,42.312997,0
REDE_COMPLETA,392084,1,CX.ELET.EX.PLS  5 ENTRADAS PLASTIBOX,E - MATERIAIS ELETRICOS,5,5538.225000,8.299725,8.132250,1.043566,7.140000,9.720375,0.125735,31.089886,0
REDE_COMPLETA,463955,0,LAV.ROUPA 13KG WG-02         BR M220,D - ELETROS,9,899364.039000,1857.332457,1862.700000,233.329052,1521.450000,2315.145000,0.125626,42.733060,0
REDE_COMPLETA,476297,0,LENCOL JG  KING DPL PETALAS     7002,"K - CAMA, MESA E BANHO",9,32232.165000,248.780054,253.895000,31.229217,186.270000,291.424412,0.125529,42.268024,0
REDE_COMPLETA,419438,0,ARAND.LED PSL.   PT 3W QD   BR 18550,I - ILUMINACAO,9,70776.930000,69.079047,71.183152,8.653378,56.910000,79.199494,0.125268,32.266650,0
