COD_EMPRESA,CODIGO,ESTOQUE_PROJ,VENDA_MEDIA_MES,DIAS_COBERTURA,RECEITA_TOTAL,DESCRICAO,NIVEL_1,CD_CIDADE,CD_ESTADO,STATUS_ESTOQUE
9,442431,-344.0,26.46153846153846,-390.0,4080.93,TOM.MOD.1M 2P+T 20A      GF 57215032,E - MATERIAIS ELETRICOS,SALVADOR,BA,EM RUPTURA
9,442432,-253.0,23.0,-330.0,3457.3350000000005,TOM.MOD.1M 2P+T 10A      GF 57215030,E - MATERIAIS ELETRICOS,SALVADOR,BA,EM RUPTURA
9,442523,-110.88000000000001,12.32,-270.0,16087.377600000002,"PORCEL.A 60X120 ESM.IRON EXT  1,44M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,442528,0.0,0.0,inf,,"PORCEL.A 60X120 EPO.PULPIS CRE1,44M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,442541,0.0,0.0,inf,,"PORCEL.A 60X120 ESM.PULP.CR.AC1,44M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,443168,-14.0,2.8,-150.0,11943.75,PNEU 205/60R16 TERRITORY 92H  111601,A - AUTOMOTIVO,SALVADOR,BA,EM RUPTURA
9,443237,-25.0,1.9230769230769231,-390.0,45829.035,FECH.DIG.EMB.CART.BIO.WF IP65 FDE300,"G - PORTAS, JANELAS E FECHADURAS",SALVADOR,BA,EM RUPTURA
9,443403,0.0,0.0,inf,,PRATO SMES.CER 21CM         BR 28790,B - UTILIDADES DOMESTICAS,SALVADOR,BA,EM RUPTURA
9,443569,-2.0,2.0,-30.0,1259.79,ARMARIO AEREO CANTO 0.93         FRJ,O - MOVEIS,SALVADOR,BA,EM RUPTURA
9,443698,-84.48,28.16,-90.0,3603.8016,"REVEST.C 37X74 MP37062     RT 1,92M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,443789,-179.0,16.272727272727273,-330.0,17783.954999999998,"TINT.ACR.SELPIN.GES FC  3,6L BR.NEVE",S - TINTAS E QUIMICOS,SALVADOR,BA,EM RUPTURA
9,443790,-14.0,2.0,-210.0,5880.420000000001,"TINT.ACR.SELPIN.GES FC 18,0L BR.NEVE",S - TINTAS E QUIMICOS,SALVADOR,BA,EM RUPTURA
9,443956,-259.0,13.631578947368421,-570.0,7059.255,CAPA P/CADEIRA MALHA ESTAMP.MARM1185,V - DECORACAO,SALVADOR,BA,EM RUPTURA
9,443958,-135.0,19.285714285714285,-210.0,3172.575,CAPA P/CADEIRA MALHA ESTAMP.XAD.1207,V - DECORACAO,SALVADOR,BA,EM RUPTURA
9,443959,-201.0,15.461538461538462,-390.0,5206.845,CAPA P/CADEIRA MALHA ESTAMP.XAD.1208,V - DECORACAO,SALVADOR,BA,EM RUPTURA
9,443960,-171.0,13.153846153846153,-390.0,4446.6449999999995,CAPA P/CADEIRA MALHA ESTAMP. AR 1520,V - DECORACAO,SALVADOR,BA,EM RUPTURA
9,443992,0.0,0.0,inf,,CAFET.ELET.20XIC.   C-43-20X IX M220,D - ELETROS,SALVADOR,BA,EM RUPTURA
9,443993,-6.0,3.0,-60.0,1110.48,CAFET.ELET.20XIC.   C-43-20X IX M127,D - ELETROS,SALVADOR,BA,EM RUPTURA
9,444025,0.0,0.0,inf,,BALCAO ESCR. 0.60X0.74 2P     AMD/PT,O - MOVEIS,SALVADOR,BA,EM RUPTURA
9,444035,0.0,0.0,inf,,"PORCEL.C 90X90ESM.MUNARI BR AC1,63M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,444037,0.0,0.0,inf,,"PORCEL.C 90X90 ESM.BRERA CIME.1,63M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,444044,0.0,0.0,inf,,"PORCEL.C 120X120 ESM.ONIX CRIS1,44M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,444045,0.0,0.0,inf,,"PORCEL.C 120X120 ESM.PLACE AC 1,44M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,444085,-5.0,1.25,-120.0,899.5455,TAMPA P/ CAIXA DE AR COND 52X65   BR,D - ELETROS,SALVADOR,BA,EM RUPTURA
9,444086,0.0,0.0,inf,,TAMPA P/ CAIXA DE AR COND 56X76   BR,D - ELETROS,SALVADOR,BA,EM RUPTURA
9,444103,-60.0,6.0,-300.0,432.6945000000001,FACA OSTRA 14CM            PT CK3481,B - UTILIDADES DOMESTICAS,SALVADOR,BA,EM RUPTURA
9,444185,-53.0,5.3,-300.0,3804.9795000000004,OLEO LUBR.SINT.HAV.      SN 5W20 1LT,A - AUTOMOTIVO,SALVADOR,BA,EM RUPTURA
9,444380,-130.0,7.647058823529412,-510.0,23788.800000000003,LENCOL JG CASAL DPL ATTUALE   SORT.2,"K - CAMA, MESA E BANHO",SALVADOR,BA,EM RUPTURA
9,444397,0.0,0.0,inf,,LIQUID.12V 1000W      LIQ415 BR M220,D - ELETROS,SALVADOR,BA,EM RUPTURA
9,444587,-29.0,4.833333333333333,-180.0,1886.9550000000002,OLEO LUBR.SINT.HAV.      SP 0W20 1LT,A - AUTOMOTIVO,SALVADOR,BA,EM RUPTURA
9,444979,-113.0,6.647058823529412,-510.0,14192.220000000001,TOALHA PRAIA 80X160 IBIZA BR/AZ 1450,"K - CAMA, MESA E BANHO",SALVADOR,BA,EM RUPTURA
9,444980,-111.0,6.9375,-480.0,13714.470000000001,TOALHA PRAIA 80X160 IBIZA BR/AZ 1460,"K - CAMA, MESA E BANHO",SALVADOR,BA,EM RUPTURA
9,445389,-147.42,29.483999999999998,-150.0,21801.97215,"PORCEL.A 90X90 POL.MATER.PETRO1,62M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,445422,0.0,0.0,inf,,GARFO FONDUE IX 06PC        2051/325,B - UTILIDADES DOMESTICAS,SALVADOR,BA,EM RUPTURA
9,445484,0.0,0.0,inf,,CADEIRA FIBRA NADIA               CM,O - MOVEIS,SALVADOR,BA,EM RUPTURA
9,445583,0.0,0.0,inf,,TACA VINHO CRIST.350ML 6PC     35323,B - UTILIDADES DOMESTICAS,SALVADOR,BA,EM RUPTURA
9,445584,-60.0,7.5,-240.0,2048.7495,PORTA-COPO CORTICA 10CM 2PC    27599,B - UTILIDADES DOMESTICAS,SALVADOR,BA,EM RUPTURA
9,445689,-81.0,5.0625,-480.0,2528.295,SUBSTRATO ROSA DESERTO 1KG  91400030,J - JARDINAGEM,SALVADOR,BA,EM RUPTURA
9,445699,-108.0,15.428571428571429,-210.0,1758.96,TRAVESSA VID.21X12              1189,B - UTILIDADES DOMESTICAS,SALVADOR,BA,EM RUPTURA
9,445715,-48.0,5.333333333333333,-270.0,799.029,PRATO SMES.CER.19CM MEDITERR. 102959,B - UTILIDADES DOMESTICAS,SALVADOR,BA,EM RUPTURA
9,445737,0.0,0.0,inf,,PRATO RASO PORC.28CM BLACK    003771,B - UTILIDADES DOMESTICAS,SALVADOR,BA,EM RUPTURA
9,445752,-58.0,6.444444444444445,-270.0,2561.1600000000003,PRATO RASO PORC.27CM SAFIRA   092409,B - UTILIDADES DOMESTICAS,SALVADOR,BA,EM RUPTURA
9,445753,-64.0,4.923076923076923,-390.0,2271.78,PRATO SMES.PORC.21CM SAFIRA   092411,B - UTILIDADES DOMESTICAS,SALVADOR,BA,EM RUPTURA
